land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room_size,parking_space,front_garden,swimming_pool,distance_to_school,wall_fence,house_age,water_front,distance_to_supermarket_km,crime_rate_index,room_size,property_value
170 sqm,148,3,3,Large,0,1,No,5.1,0,12,0,3.5,5.68,1,118435
190 sqm,178,2,2,Small,1,0,No,0.1,0,16,0,4.3,3.85,1,145854
302 sqm,300,5,4,Large,0,1,Yes,2.8,1,3,0,4.4,3.87,0,254455
117 sqm,115,1,1,Small,0,0,No,2.4,0,6,0,6.8,4.98,1,77871
260 sqm,224,4,3,Large,1,0,Yes,6.9,1,7,0,2.7,1.25,0,221912
271 sqm,266,5,2,Large,1,1,Yes,1.3,1,1,0,4.6,3.85,1,244207
151 sqm,135,3,2,Small,1,0,Yes,1.4,0,10,0,4.4,4.86,1,125534
533 sqm,519,7,8,Large,1,1,Yes,6.4,1,8,0,6.7,2.41,0,423665
103 sqm,93,1,1,Small,0,0,No,3.2,1,8,0,1.6,3.44,1,79728
173 sqm,168,2,3,Large,0,0,Yes,0.5,0,11,0,3.7,4.4,0,140451
212 sqm,192,3,1,Large,0,0,No,2.2,1,11,0,2.2,4.14,0,156980
228 sqm,204,3,4,Small,0,1,No,2.6,1,2,0,5.4,3.75,1,187637
283 sqm,269,5,3,Small,1,1,Yes,2.2,1,20,0,6.6,2.63,0,236224
240 sqm,217,3,1,Large,0,0,No,2.1,0,5,0,6.2,3.47,1,162263
239 sqm,205,3,4,Small,1,1,No,3.5,0,1,0,4.8,5.53,0,180367
362 sqm,340,6,7,Large,1,1,Yes,6.2,0,11,0,1.9,0.63,1,290303
357 sqm,343,5,3,Large,1,0,Yes,0.1,1,15,0,2.2,5.44,0,305001
177 sqm,168,2,2,Small,1,0,No,3.1,0,13,1,6.2,5.39,2,143831
145 sqm,143,1,2,Large,0,0,No,1.8,0,13,0,5.5,2.13,0,103222
189 sqm,162,3,4,Small,1,0,Yes,4.5,1,1,1,5.3,1.13,1,187392
126 sqm,118,2,2,Small,1,0,No,3.3,0,19,0,5.4,3.4,0,87038
353 sqm,350,5,5,Large,1,1,Yes,5.4,1,6,0,0.8,3.74,0,294390
245 sqm,213,5,3,Large,1,1,Yes,3.7,1,4,0,3.1,1.28,0,226855
297 sqm,257,5,5,Large,1,1,No,1.5,1,18,0,1.2,2.31,0,240581
214 sqm,183,4,3,Small,1,0,No,4.6,1,11,0,2.2,0.16,1,171338
238 sqm,224,4,4,Small,1,1,Yes,1.3,1,8,0,0.6,1.26,1,220779
178 sqm,161,2,2,Small,0,0,No,4.6,0,1,0,5.4,2.78,1,121390
323 sqm,282,5,4,Large,1,0,Yes,6.1,0,11,0,6.3,0.63,1,241221
152 sqm,142,2,3,Small,0,0,No,4.4,0,11,0,3.2,0.72,2,106896
149 sqm,140,2,3,Small,1,0,No,0.3,0,21,0,4.9,0.57,0,119377
238 sqm,205,3,2,Small,1,0,Yes,3.8,1,22,0,6.3,3.06,1,194009
236 sqm,215,4,3,Small,1,1,Yes,3.2,1,20,0,0.3,3.58,0,205527
256 sqm,233,5,5,Large,1,1,Yes,4.7,1,11,0,0.8,3.81,1,238334
297 sqm,294,5,2,Large,1,1,Yes,3.2,1,2,0,1.9,3.49,1,254727
475 sqm,451,7,6,Large,1,1,Yes,5.3,1,17,0,2.1,0.08,3,369207
132 sqm,128,2,2,Small,0,0,Yes,5.6,0,11,0,0.5,1.06,1,109392
170 sqm,150,3,1,Small,1,1,No,3.3,1,13,0,6.9,5.24,1,141169
216 sqm,195,3,2,Large,1,0,No,6.1,1,15,0,1.7,2.34,1,163696
526 sqm,467,8,6,Large,1,1,Yes,3.4,1,17,0,1.6,0.9,2,430611
222 sqm,221,3,4,Large,0,1,No,1.9,0,22,0,1.5,5.54,0,156379
260 sqm,260,4,2,Large,1,1,Yes,2.6,1,6,0,1.1,4.88,1,233275
241 sqm,232,4,5,Small,1,1,Yes,5.4,1,19,0,3.2,3.08,0,196305
287 sqm,282,4,3,Large,0,1,Yes,4.7,1,18,0,4.4,3.89,0,233007
121 sqm,103,2,3,Large,1,0,Yes,3.2,0,1,0,4.1,0.81,1,115686
143 sqm,139,1,1,Small,0,0,No,4.8,0,13,0,6.2,2.41,0,86727
280 sqm,245,4,5,Large,1,1,Yes,0.9,1,10,0,5.5,0.72,0,259502
632 sqm,567,8,6,Large,1,1,Yes,1.4,1,13,0,5.7,0.46,2,527472
115 sqm,98,1,2,Large,0,0,No,4.7,0,2,0,4.8,2.97,0,76899
205 sqm,175,3,3,Large,0,1,No,1.3,0,18,1,1.8,0.97,1,187897
193 sqm,192,4,2,Large,1,0,Yes,0.3,1,19,0,2.9,2.97,0,183566
231 sqm,215,5,3,Large,1,1,Yes,4.6,1,18,0,1.1,5.5,1,198919
321 sqm,314,5,5,Large,1,1,Yes,6.6,0,3,0,5.7,2.87,1,251935
331 sqm,308,5,3,Large,1,1,No,3.7,1,8,0,5.8,3.02,0,261937
427 sqm,371,6,5,Large,1,1,Yes,1.8,1,21,0,5.3,4.36,1,337540
162 sqm,145,3,4,Small,1,0,No,2.5,1,4,0,6.9,3.66,1,131810
466 sqm,419,6,6,Large,1,1,Yes,3.6,1,8,0,4.1,4.14,1,390138
206 sqm,187,4,3,Large,1,1,Yes,1.4,1,18,0,2.2,5.61,0,181708
207 sqm,189,4,5,Small,1,1,Yes,4.3,1,3,1,1.9,2.76,1,218009
201 sqm,181,3,2,Small,1,1,No,3.8,0,3,0,3.3,1.72,0,158468
383 sqm,359,6,5,Large,1,1,Yes,2.1,1,16,0,4.1,3.62,0,300328
134 sqm,131,1,2,Large,0,0,No,3.6,0,19,0,5.3,2.85,0,89398
173 sqm,148,2,2,Small,0,0,No,6.6,0,17,0,5.1,2.59,0,103859
155 sqm,139,3,1,Small,1,0,No,6.7,1,15,0,6.2,4.63,1,110155
256 sqm,234,4,5,Large,1,1,Yes,3.8,1,12,0,3.7,5.43,1,224335
317 sqm,299,6,7,Large,1,1,Yes,5.8,0,16,0,0.1,2.67,1,253088
240 sqm,239,4,5,Large,1,1,Yes,3.9,0,20,0,0.1,4.14,1,193711
260 sqm,235,4,4,Large,1,1,Yes,0.6,1,17,0,5.8,5.63,1,229133
195 sqm,187,4,3,Large,1,1,Yes,0.7,1,4,0,6.9,3.65,1,192284
116 sqm,100,1,1,Small,0,0,No,2.7,0,14,0,3.3,4.36,0,76826
239 sqm,205,4,5,Large,1,0,Yes,2.1,0,8,0,3.5,0.92,1,192173
234 sqm,221,3,3,Large,0,1,No,3.3,1,15,0,0.3,4.44,1,186721
269 sqm,259,4,4,Large,1,1,Yes,4.9,1,5,0,3.4,2.64,0,222170
156 sqm,142,3,1,Small,1,1,No,1.6,1,15,0,1.7,1.99,0,143898
308 sqm,265,5,3,Large,1,1,Yes,5.7,1,12,1,6.8,3.21,1,282973
216 sqm,211,4,5,Large,1,1,Yes,1.7,0,11,0,2.1,3.12,1,184876
413 sqm,379,6,4,Large,1,1,Yes,3.5,1,15,0,0.6,3.85,1,339498
103 sqm,102,1,2,Large,0,0,No,0.4,0,16,0,5.3,1.74,0,87402
226 sqm,201,3,3,Small,0,0,No,3.2,1,15,0,6.6,5.11,1,159508
224 sqm,210,4,2,Small,1,0,No,4.7,1,18,0,5.1,2.91,0,163962
299 sqm,278,5,3,Large,1,1,Yes,6.3,1,20,0,5.3,0.04,1,246565
182 sqm,177,2,2,Small,0,0,Yes,6.2,0,3,1,1.2,5.12,1,155549
352 sqm,307,5,2,Large,1,1,Yes,5.5,1,8,0,6.7,5.17,1,288480
239 sqm,213,3,2,Large,1,1,No,2.9,1,21,0,4.5,3.85,0,191668
218 sqm,210,3,3,Small,0,0,Yes,2.4,1,13,0,4.8,4.31,1,181747
469 sqm,427,6,6,Large,1,1,Yes,0.1,0,14,0,3.5,5.84,1,363589
168 sqm,163,2,2,Small,0,0,No,1.6,0,9,0,4.6,1.21,2,128495
146 sqm,128,2,3,Small,1,1,No,4.3,0,19,0,5.5,1.75,2,115748
218 sqm,211,4,5,Large,1,0,Yes,4.7,1,22,0,5.9,3.13,1,181704
286 sqm,259,4,5,Large,1,1,Yes,1.6,0,21,0,6.3,0.23,0,219835
196 sqm,172,4,3,Large,1,1,No,1.8,0,7,0,3.6,5.62,0,149434
199 sqm,189,4,2,Large,1,1,Yes,2.5,1,7,0,5.9,3.18,0,182669
258 sqm,241,4,4,Large,1,0,No,3.3,1,22,0,4.7,0.97,1,200244
298 sqm,282,5,4,Large,1,1,Yes,5.5,0,9,0,5.6,3.31,0,222028
351 sqm,302,5,3,Large,1,0,Yes,0.2,1,19,0,3.2,5.49,0,273884
331 sqm,295,5,3,Large,1,1,Yes,3.5,1,10,0,6.1,2.01,1,280459
707 sqm,706,8,8,Large,1,1,Yes,4.6,1,8,1,4.2,5.98,3,633937
131 sqm,114,1,1,Large,0,0,No,3.3,0,4,0,4.2,0.67,0,96597
111 sqm,100,1,1,Large,1,1,No,6.2,0,7,0,5.3,3.99,1,91143
339 sqm,319,5,3,Large,1,1,Yes,6.2,1,3,0,1.5,4.33,0,278842
351 sqm,349,5,4,Large,0,1,Yes,5.7,1,13,0,2.6,5.96,0,278214
575 sqm,510,7,5,Large,1,1,Yes,5.6,1,14,0,2.6,1.11,2,481957
199 sqm,190,3,1,Large,0,0,No,2.9,1,14,0,0.1,4.72,0,154835
335 sqm,301,5,5,Large,1,1,Yes,1.1,1,9,0,3.3,2.9,0,287783
564 sqm,550,7,5,Large,1,1,Yes,0.4,1,9,0,6.5,1.74,0,462835
188 sqm,184,2,1,Large,0,0,Yes,1.2,0,11,0,1.1,1.31,2,166690
201 sqm,199,3,1,Large,0,0,No,5.3,1,10,0,3.7,1.11,1,157217
282 sqm,242,5,3,Small,1,1,Yes,1.3,1,3,0,0.7,0.09,1,258670
208 sqm,195,3,4,Large,0,0,No,1.9,1,6,0,3.6,0.12,1,168724
328 sqm,313,5,5,Large,1,1,Yes,4.1,0,17,0,6.5,4.45,0,240075
339 sqm,306,5,3,Small,1,1,Yes,2.8,1,14,0,5.9,1.97,0,278212
178 sqm,176,2,1,Large,0,1,No,3.2,1,9,0,0.1,5.66,1,143234
172 sqm,170,2,3,Small,0,0,No,1.4,0,18,0,0.3,4.3,2,130053
235 sqm,228,3,2,Large,1,0,No,1.9,1,17,0,0.4,5.4,0,190146
213 sqm,198,3,1,Small,1,0,Yes,5.7,0,17,0,6.3,4.41,0,152609
294 sqm,285,5,5,Large,1,1,Yes,1.6,1,7,0,2.1,1.5,1,258997
106 sqm,103,1,1,Large,0,0,No,0.9,0,14,0,3.5,0.31,1,89107
526 sqm,458,7,8,Large,1,1,Yes,6.4,1,12,0,5.2,3.45,2,434971
237 sqm,222,3,3,Large,1,1,No,0.2,0,10,0,6.3,1.89,1,194061
125 sqm,116,2,3,Small,1,0,Yes,6.9,0,2,0,3.2,1.14,2,115975
251 sqm,219,4,4,Large,1,1,Yes,5.6,1,13,0,3.2,5.89,1,221823
220 sqm,199,4,5,Large,1,1,No,6.1,0,2,0,1.9,5.99,1,168480
347 sqm,326,5,5,Large,1,1,Yes,0.2,1,4,0,1.1,1.19,0,316226
352 sqm,315,6,5,Large,1,1,Yes,4.5,1,22,0,0.2,1.87,1,299973
213 sqm,198,4,2,Large,1,1,Yes,1.3,1,19,0,6.2,4.12,1,191361
240 sqm,204,4,4,Small,1,0,Yes,4.8,0,16,0,4.2,4.29,0,169989
287 sqm,248,5,4,Large,1,0,Yes,3.5,1,9,0,1.7,3.22,0,241830
218 sqm,192,3,1,Large,1,0,Yes,5.4,1,15,0,0.8,1.46,1,188191
295 sqm,276,4,5,Large,1,1,No,4.3,1,18,0,3.2,2.22,0,224761
269 sqm,232,4,5,Large,1,1,Yes,2.8,1,16,0,5.3,4.13,1,237263
732 sqm,670,8,8,Large,1,1,Yes,0.3,1,15,0,3.4,2.13,2,616074
292 sqm,260,4,5,Large,1,1,Yes,6.3,0,17,0,6.6,1.93,1,223110
326 sqm,300,5,4,Large,1,1,No,0.9,1,22,0,3.3,5.4,0,260625
302 sqm,298,5,5,Large,1,1,Yes,6.4,1,13,0,1.9,3.76,1,258224
237 sqm,218,3,3,Small,1,0,No,2.6,1,2,0,5.6,4.31,1,181262
462 sqm,432,7,6,Large,1,1,Yes,5.5,1,22,0,5.3,4.17,2,376138
121 sqm,116,1,2,Small,0,1,No,3.2,0,22,0,6.2,3.43,1,83596
290 sqm,286,4,2,Large,1,0,Yes,0.7,1,17,0,4.4,1.2,0,248198
170 sqm,169,3,4,Large,0,0,No,6.2,0,4,0,1.6,4.67,0,119513
171 sqm,165,3,2,Large,1,0,Yes,5.4,0,22,0,2.1,2.58,1,133973
284 sqm,277,4,2,Large,1,1,Yes,6.2,1,2,0,0.1,2.36,0,247026
219 sqm,191,4,2,Large,1,0,Yes,2.4,1,1,0,5.4,0.15,0,195210
270 sqm,259,4,2,Small,1,1,Yes,0.5,1,9,0,3.7,0.27,0,236517
126 sqm,118,1,1,Small,1,0,No,3.9,0,20,0,2.2,5.45,0,86108
311 sqm,293,5,3,Large,1,1,Yes,5.3,1,20,0,3.9,3.27,0,248858
228 sqm,197,4,2,Large,1,1,Yes,0.2,1,15,0,1.1,4.05,1,226934
195 sqm,194,4,3,Large,1,1,Yes,5.8,1,20,0,1.6,0.71,0,173061
150 sqm,148,2,3,Small,0,0,No,5.3,0,3,0,2.5,2.43,1,102931
189 sqm,172,2,1,Large,1,0,No,6.6,1,11,0,5.2,0.66,0,142666
297 sqm,274,4,2,Small,1,0,Yes,3.9,1,9,0,2.1,3.72,0,234742
254 sqm,241,4,2,Large,1,1,Yes,2.4,1,15,0,4.3,3.72,0,215166
105 sqm,103,1,2,Large,0,0,No,4.2,0,8,0,1.2,4.92,1,74578
326 sqm,318,5,4,Large,1,1,Yes,2.5,1,20,0,3.1,0.96,1,271447
233 sqm,231,5,5,Large,1,1,Yes,3.8,1,20,0,6.7,1.27,1,203147
346 sqm,329,5,5,Large,1,1,Yes,0.6,1,21,0,1.9,1.47,0,298067
184 sqm,157,3,2,Large,0,1,No,5.7,1,2,0,0.8,2.41,0,156989
167 sqm,167,3,1,Large,0,0,Yes,1.1,1,2,0,2.5,3.25,1,153839
221 sqm,196,4,4,Large,1,1,Yes,2.7,0,4,0,6.7,4.58,1,193115
257 sqm,256,4,3,Large,0,0,Yes,5.1,1,19,0,0.8,5.46,0,204217
139 sqm,120,2,2,Small,0,0,No,3.5,0,14,0,5.3,0.42,1,95329
404 sqm,387,6,6,Large,1,1,Yes,6.4,1,14,0,5.9,2.55,1,331662
181 sqm,175,2,1,Large,1,1,No,2.7,0,11,0,3.1,1.54,1,140138
284 sqm,276,4,5,Large,1,1,No,4.6,0,3,0,0.5,2.16,1,204294
249 sqm,244,5,5,Large,1,1,No,3.9,1,10,0,6.3,0.47,1,205757
309 sqm,304,5,4,Large,0,1,No,5.4,1,8,0,3.6,4.65,1,236765
158 sqm,137,3,2,Large,1,0,No,3.8,1,15,0,2.7,3.99,0,121941
215 sqm,191,3,2,Large,0,0,No,1.3,0,5,0,3.1,5.17,0,155454
327 sqm,280,5,3,Large,1,1,No,0.2,1,8,1,4.7,2.76,0,319955
301 sqm,261,4,2,Large,1,1,Yes,4.4,0,5,0,1.8,0.1,1,246785
194 sqm,191,4,5,Small,0,0,Yes,2.5,1,18,0,2.4,3.61,0,157193
285 sqm,272,4,3,Large,1,0,No,1.3,1,17,0,6.6,4.98,1,224534
147 sqm,135,2,2,Small,1,0,No,4.7,0,22,0,2.3,4.5,2,106071
222 sqm,210,3,1,Small,1,0,No,2.8,1,1,0,3.6,3.01,0,185050
102 sqm,97,1,1,Small,0,0,No,0.9,0,4,0,1.2,3.61,0,81705
119 sqm,102,1,1,Small,1,0,No,1.2,0,17,0,3.7,1.77,1,91617
287 sqm,251,4,5,Large,1,1,Yes,1.7,1,20,0,4.2,0.09,1,251878
594 sqm,558,7,7,Large,1,1,Yes,1.7,1,7,0,5.9,1.1,1,485251
273 sqm,259,4,5,Large,1,1,Yes,1.3,1,12,0,1.4,5.98,1,239005
323 sqm,310,6,4,Large,1,1,Yes,0.6,1,2,0,4.6,4.9,0,280732
209 sqm,207,3,3,Small,0,0,No,4.5,0,8,0,4.7,2.99,1,146659
321 sqm,308,5,5,Large,1,1,Yes,6.8,1,11,0,3.6,5.74,1,261140
315 sqm,277,5,2,Large,1,1,Yes,3.9,1,3,0,4.2,2.4,1,277487
201 sqm,187,4,5,Large,1,1,Yes,3.9,1,12,0,3.8,5.18,1,177838
276 sqm,265,4,2,Large,1,1,No,5.9,1,3,0,1.5,4.45,1,218677
204 sqm,195,3,3,Large,1,0,Yes,5.5,1,1,0,5.8,4.09,0,179334
200 sqm,198,4,5,Large,1,0,Yes,6.5,0,16,0,2.6,5.17,0,149213
282 sqm,280,4,4,Large,0,1,No,6.8,1,18,0,0.4,3.96,1,218357
262 sqm,261,5,3,Large,1,1,Yes,0.3,1,2,0,6.5,3.45,1,242608
200 sqm,193,3,4,Large,1,1,No,1.4,1,12,0,1.1,4.34,1,167090
389 sqm,356,6,6,Large,1,1,Yes,3.7,1,21,0,6.4,1.19,0,311121
350 sqm,345,6,7,Large,1,1,Yes,2.4,1,10,0,0.3,3.95,0,302476
291 sqm,252,5,5,Large,1,1,Yes,5.1,1,20,0,5.6,3.99,1,244099
304 sqm,299,5,3,Large,0,1,Yes,0.1,1,1,0,0.5,4.68,1,269943
245 sqm,237,5,3,Large,1,1,Yes,1.3,1,20,0,2.6,5.38,0,207175
247 sqm,229,4,2,Large,1,0,Yes,3.5,1,15,0,6.5,1.3,0,204491
236 sqm,212,4,2,Small,1,1,No,5.7,1,6,1,3.7,0.67,1,226527
304 sqm,266,4,2,Large,1,0,Yes,0.9,1,9,0,4.9,0.42,0,259447
150 sqm,146,1,2,Large,0,0,No,4.4,0,11,0,3.1,0.67,1,107623
302 sqm,279,4,4,Large,1,1,Yes,1.4,1,16,0,2.5,3.95,1,255877
289 sqm,267,4,4,Large,1,1,Yes,2.9,1,11,0,6.8,5.1,0,253564
120 sqm,103,1,1,Small,1,0,No,0.7,0,11,0,5.1,4.87,1,94746
126 sqm,119,2,1,Small,1,0,Yes,1.2,0,10,0,0.8,5.03,2,119907
223 sqm,221,4,2,Large,0,0,Yes,6.1,0,7,0,1.3,2.87,0,171645
238 sqm,228,4,5,Small,1,0,Yes,1.8,1,4,0,5.8,4.92,1,209202
451 sqm,411,6,6,Large,1,1,Yes,2.4,1,16,0,5.3,0.71,0,378002
102 sqm,89,1,2,Small,1,1,No,3.7,0,14,0,3.5,0.36,1,97490
281 sqm,257,4,5,Large,1,1,Yes,0.9,1,12,0,1.3,3.28,0,251810
275 sqm,234,4,2,Large,1,0,Yes,4.6,0,9,0,4.8,1.57,0,203732
213 sqm,182,3,4,Large,1,1,No,4.5,1,7,0,6.4,0.46,0,182073
279 sqm,268,4,5,Large,1,1,Yes,0.6,1,13,0,5.1,1.34,1,256259
100 sqm,92,1,1,Large,1,0,No,6.1,0,9,0,5.7,1.57,0,72429
164 sqm,153,3,3,Large,1,1,No,6.9,1,17,0,0.3,4.64,0,136052
243 sqm,208,5,3,Large,1,1,Yes,2.4,1,4,0,1.9,0.68,1,240139
129 sqm,126,1,2,Small,0,0,No,1.7,0,11,0,3.5,5.13,0,86600
121 sqm,111,2,1,Large,1,1,No,4.6,0,8,0,3.2,4.53,2,92962
192 sqm,168,4,2,Large,1,1,Yes,6.8,1,22,0,4.3,5.56,1,165594
202 sqm,193,3,3,Small,0,1,No,0.3,0,11,0,2.4,1.02,1,163867
270 sqm,245,4,5,Large,1,1,No,0.1,1,15,0,5.9,3.9,1,230019
155 sqm,151,2,3,Small,0,0,No,3.2,0,16,0,2.4,0.65,0,107775
256 sqm,253,4,3,Large,1,0,Yes,1.4,1,18,0,3.7,1.6,0,218635
326 sqm,318,5,4,Large,1,1,Yes,4.5,1,16,0,1.2,3.42,0,266852
371 sqm,334,6,6,Large,1,1,Yes,5.6,1,20,0,3.6,5.4,1,299188
210 sqm,182,4,4,Large,1,1,Yes,0.6,0,9,0,4.4,1.43,0,184745
185 sqm,184,2,1,Small,0,0,No,3.8,0,9,0,2.5,2.35,1,123228
158 sqm,137,3,4,Small,0,0,Yes,6.6,1,16,0,4.2,3.71,1,123849
126 sqm,118,1,2,Small,0,0,No,1.5,0,19,0,3.1,0.95,1,93285
214 sqm,187,4,5,Small,1,1,Yes,4.5,1,20,0,0.7,3.17,1,198485
133 sqm,131,2,3,Large,0,0,No,1.5,0,14,0,6.3,5.79,2,91774
294 sqm,263,4,3,Large,1,1,Yes,3.4,0,8,0,5.9,0.92,0,240268
275 sqm,237,4,2,Large,1,1,Yes,2.8,1,11,0,3.4,0.75,1,252453
347 sqm,347,5,3,Large,0,1,Yes,4.5,1,5,0,0.6,3.16,0,280575
186 sqm,166,3,1,Small,0,0,No,4.7,0,5,0,1.6,5.59,0,120711
335 sqm,288,5,2,Large,1,1,Yes,0.6,1,5,0,1.9,2.39,1,301216
488 sqm,474,7,5,Large,1,0,Yes,6.3,1,15,0,2.6,3.25,3,391633
236 sqm,225,3,2,Large,1,0,No,1.2,0,11,0,4.9,5.68,0,162387
230 sqm,219,3,1,Small,1,0,No,2.3,1,12,0,3.8,4.05,1,176992
210 sqm,188,3,1,Large,1,1,No,4.1,0,4,0,6.5,1.19,0,156943
507 sqm,507,7,7,Large,1,1,Yes,4.1,1,10,0,2.8,3.82,2,412984
126 sqm,125,2,1,Small,0,0,No,1.6,1,14,0,0.4,5.9,2,105075
279 sqm,252,4,5,Large,1,1,Yes,3.3,1,9,0,3.1,0.88,1,243798
349 sqm,344,5,2,Large,0,1,Yes,5.7,1,17,0,0.6,1.61,0,270197
230 sqm,208,5,3,Large,1,1,Yes,3.2,1,16,0,5.5,3.94,1,205747
279 sqm,266,4,2,Large,1,1,Yes,2.8,1,2,0,3.4,5.03,1,250027
183 sqm,181,2,2,Small,0,0,Yes,2.2,0,8,0,1.3,0.22,0,150339
229 sqm,209,3,1,Large,1,0,No,5.8,0,15,0,3.9,0.7,1,158692
220 sqm,220,4,4,Large,1,1,Yes,0.6,1,1,0,0.9,3.31,1,213757
225 sqm,218,3,1,Small,1,0,Yes,2.9,0,12,0,1.3,0.05,1,187490
220 sqm,208,3,4,Small,0,1,No,6.1,0,9,0,1.3,5.51,0,147799
141 sqm,129,1,2,Small,1,0,No,3.4,0,6,0,2.4,0.87,1,110770
300 sqm,300,4,4,Small,0,1,Yes,5.4,0,8,0,3.2,1.9,0,214089
295 sqm,256,5,5,Large,1,1,Yes,2.3,1,9,0,6.7,5.14,1,257101
258 sqm,252,4,2,Large,1,1,Yes,2.1,1,16,0,0.6,4.12,1,231531
232 sqm,227,3,4,Large,0,0,No,5.7,1,14,0,2.3,2.38,1,180936
211 sqm,210,4,3,Large,1,1,Yes,1.7,1,18,0,0.4,0.49,0,200912
213 sqm,208,4,3,Large,1,1,Yes,2.2,1,3,0,0.9,2.1,1,203087
228 sqm,221,4,5,Large,1,0,Yes,6.7,1,16,0,2.6,2.42,0,190587
123 sqm,107,1,1,Small,0,0,No,3.7,0,19,0,5.4,5.48,0,74588
219 sqm,208,3,4,Small,1,0,No,5.7,1,6,0,4.3,3.58,1,160441
206 sqm,197,3,2,Large,0,1,No,1.6,1,1,0,6.3,4.36,1,168807
278 sqm,251,4,2,Large,1,1,Yes,0.1,0,15,0,2.9,4.5,1,224582
306 sqm,262,4,5,Large,1,0,Yes,2.9,1,18,0,4.3,1.58,1,250645
232 sqm,217,3,4,Small,1,1,No,5.1,1,20,0,2.6,2.26,0,181021
235 sqm,214,3,1,Small,0,1,No,0.1,0,12,0,2.3,4.86,0,177385
264 sqm,245,4,2,Large,1,1,Yes,1.2,1,17,0,4.2,3.51,1,225428
159 sqm,151,3,3,Large,1,0,No,5.4,1,2,0,4.4,2.1,1,134211
116 sqm,111,1,2,Small,0,0,No,2.2,1,15,0,0.7,4.83,1,95184
203 sqm,192,4,5,Large,1,0,Yes,1.8,1,6,0,5.5,0.32,1,188579
212 sqm,192,4,3,Large,1,1,No,2.3,1,19,0,3.9,2.98,0,177919
232 sqm,220,3,2,Small,1,1,No,4.2,0,22,0,1.7,3.3,1,165869
144 sqm,127,2,2,Small,1,0,No,4.3,0,4,0,3.4,0.35,1,105738
216 sqm,211,3,4,Large,0,0,Yes,5.4,0,9,0,6.3,4.49,0,162384
178 sqm,178,3,1,Small,0,0,Yes,5.8,1,8,0,2.6,1.19,1,149631
221 sqm,193,3,2,Large,0,0,No,2.1,1,5,0,3.6,4.19,1,173453
277 sqm,248,4,3,Large,1,1,No,0.2,1,2,0,6.4,4.54,0,232985
293 sqm,290,5,5,Small,1,0,Yes,3.9,1,17,0,0.1,0.07,1,250231
223 sqm,211,3,2,Large,1,0,No,6.2,0,4,0,5.9,0.15,1,158486
208 sqm,178,4,2,Large,1,1,Yes,0.7,1,12,0,2.9,4.46,0,199055
281 sqm,246,4,3,Large,1,1,No,5.6,1,8,0,5.5,4.64,0,217036
235 sqm,205,5,2,Large,1,1,Yes,5.1,1,9,0,0.9,4.44,0,206962
137 sqm,137,1,1,Large,0,0,No,5.9,0,15,0,0.9,4.86,0,89735
